código,grupo,condición,evaluación,ms,µV,electrodo
JSR9M,2,Alegría,POST,598,10.13,P3
JSR9M,2,Enojo,POST,566,8.28,P3
JSR9M,2,Identidad,POST,540,12.08,P3
JSR9M,2,Sexo,POST,528,12.77,P3
JSR9M,2,Tristeza,POST,584,13.68,P3
JSR9M,2,Alegría,PRE,578,14.75,P3
JSR9M,2,Enojo,PRE,574,15.71,P3
JSR9M,2,Identidad,PRE,552,10.59,P3
JSR9M,2,Sexo,PRE,524,10.34,P3
JSR9M,2,Tristeza,PRE,558,19.57,P3
ADA8M,2,Sexo,POST,222,-7.35,T5
ADA8M,2,Sexo,PRE,238,-7.35,T5
SGM8M,2,Tristeza,PRE,206,-7.35,T5
DSB10M,2,Alegría,PRE,206,-7.36,T5
CVO8M,2,Identidad,PRE,204,-7.43,T5
JGB9M,2,Enojo,POST,234,-7.45,T5
MSR9M,1,Enojo,POST,226,-7.46,T5
DRL8M,1,Tristeza,PRE,260,-7.47,T5
JGB9M,2,Alegría,POST,230,-7.51,T5
JDC10M,2,Alegría,POST,214,-7.59,T5
JSR9M,2,Alegría,POST,236,-7.89,T6
JSR9M,2,Enojo,POST,222,-11.79,T6
JSR9M,2,Identidad,POST,230,-3.73,T6
JSR9M,2,Sexo,POST,230,-10.6,T6
JSR9M,2,Tristeza,POST,230,-11.86,T6
JSR9M,2,Alegría,PRE,230,-6.16,T6
JSR9M,2,Enojo,PRE,236,-11.99,T6
JSR9M,2,Identidad,PRE,232,-12.81,T6
JSR9M,2,Sexo,PRE,234,-5.1,T6
JSR9M,2,Tristeza,PRE,232,-5.45,T6
KGJ9M,1,Alegría,POST,552,6.91,P3
KGJ9M,1,Enojo,POST,526,-5.47,P3
KGJ9M,1,Identidad,POST,532,9.55,P3
KGJ9M,1,Sexo,POST,574,6.26,P3
KGJ9M,1,Tristeza,POST,530,11.2,P3
KGJ9M,1,Alegría,PRE,530,12.59,P3
KGJ9M,1,Enojo,PRE,528,18.72,P3
KGJ9M,1,Identidad,PRE,502,20.25,P3
KGJ9M,1,Sexo,PRE,522,12.07,P3
KGJ9M,1,Tristeza,PRE,528,19.49,P3
ADA8M,2,Identidad,PRE,222,-7.67,T5
MCJ8M,1,Tristeza,PRE,260,-7.71,T5
MCJ8M,1,Sexo,POST,240,-7.74,T5
EDC10M,1,Alegría,PRE,224,-7.76,T5
MZH9M,2,Alegría,POST,242,-7.87,T5
HMA8M,1,Sexo,POST,232,-7.97,T5
HMA8M,1,Enojo,POST,234,-8,T5
HMA8M,1,Identidad,PRE,232,-8.29,T5
JDC10M,2,Sexo,POST,254,-8.29,T5
JGB9M,2,Tristeza,POST,228,-8.33,T5
KGJ9M,1,Alegría,POST,238,6.9,T6
KGJ9M,1,Enojo,POST,260,6.24,T6
KGJ9M,1,Identidad,POST,246,7.02,T6
KGJ9M,1,Sexo,POST,242,9.21,T6
KGJ9M,1,Tristeza,POST,230,15.7,T6
KGJ9M,1,Alegría,PRE,236,2.27,T6
KGJ9M,1,Enojo,PRE,222,-2.91,T6
KGJ9M,1,Identidad,PRE,226,2.92,T6
KGJ9M,1,Sexo,PRE,240,-1.46,T6
KGJ9M,1,Tristeza,PRE,222,4.69,T6
LMR11M,1,Alegría,POST,470,16.83,P3
LMR11M,1,Enojo,POST,534,26.03,P3
